date,age,gender,dominant_race,dominant_emotion,region.x,region.y,region.w,region.h,race.asian,race.indian,race.black,race.white,race.middle eastern,race.latino hispanic,emotion.angry,emotion.disgust,emotion.fear,emotion.happy,emotion.sad,emotion.surprise,emotion.neutral
2002Jul.png,32,Woman,white,happy,825,213,132,132,0.0017075933794170129,1.8517358237561732e-05,1.351970196720515e-06,99.9319315037809,0.029424359075428955,0.036911833705646255,0.006188475168135399,3.579595144940274e-06,0.0015829983601573809,82.50243559494231,0.01164141064048771,0.012600528885548794,17.465549258324458
2002May.png,32,Woman,black,happy,327,227,166,166,3.445992824196388,1.5655555764171825,94.54784956859646,0.024042971177259606,0.006481002878662371,0.4100781644182303,0.00014741412738743042,2.7550116720271443e-06,0.7775131145127484,98.44024768115567,0.0078772846939007,0.00047039005114809916,0.7737381844960561
2006Jun.png,36,Woman,white,happy,139,164,278,278,2.6344753223384032e-05,9.418974045161121e-07,1.2617917821700075e-08,99.98718500137329,0.005893693378311582,0.00689550070092082,1.2459709353151993e-05,2.0231073625176163e-12,1.8525877013009229e-09,99.41600561141968,1.7224456527742404e-06,0.0004454049758351175,0.5835328716784716
2006Aug.png,31,Woman,latino hispanic,happy,342,106,192,192,3.509000316262245,4.768366366624832,2.014455199241638,37.05568313598633,13.687722384929657,38.96476924419403,5.772887448074471e-05,7.878565855268249e-10,4.803766273653309e-05,94.39556002616882,0.002853094702004455,0.033281592186540365,5.568196251988411
2006Sep.png,36,Woman,white,happy,396,473,157,157,1.7990606977975785,0.8307004842579654,0.06746015680716376,76.63007239282562,9.305698234182492,11.367004297197122,4.094932400978968e-11,1.896612709816993e-20,1.1057999540998661e-11,97.96461462974548,1.3313561364469706e-07,7.688716863185618e-06,2.03537717461586
2006Nov.png,31,Woman,white,happy,76,123,195,195,9.701992667032755e-05,4.5148070171308063e-05,4.720551505243975e-07,99.84398484230042,0.10090867290273309,0.054963858565315604,0.07024385686554652,3.0460883632517354e-06,0.02627733785822021,98.407900238508,0.017604107737227245,0.001728726341110641,1.4762436919655617
2006Feb.png,29,Woman,white,neutral,327,174,196,196,0.0030425477245509544,0.0013375858767903483,2.5585484101120007e-05,97.62633471175019,0.7336621229455325,1.6355967062000387,0.22252914495766163,0.0011198114407307003,0.4833382088690996,16.065309941768646,1.2370468117296696,0.02429043670417741,81.96636438369751
2006Dec.png,30,Woman,white,neutral,313,126,186,186,2.3922832682728767,2.6113100349903107,8.686098456382751,49.3471622467041,8.152072131633759,28.811073303222656,0.0035084412957075983,5.961074300842029e-07,0.006324699643300846,38.023632764816284,0.12783355778083205,0.0012850276107201353,61.83741092681885
2006Apr.png,32,Woman,latino hispanic,neutral,334,115,207,207,21.691083908081055,9.83363538980484,7.825668901205063,20.27088552713394,12.241129577159882,28.13759446144104,3.4778960049152374,0.046182554797269404,4.930555075407028,0.06753755733370781,35.53010821342468,0.019183667609468102,55.92854022979736
2006May.png,31,Woman,white,happy,186,178,135,135,1.1850151233375072,1.681123673915863,0.17665441846475005,58.90761613845825,18.541093170642853,19.508498907089233,0.0003855399882013444,1.0163613284319695e-07,0.0005552157290367177,98.28379154205322,0.0026449743018019944,0.816925335675478,0.8956986479461193
2006Oct.png,30,Woman,asian,happy,390,92,197,197,31.336141387956307,11.84359557552285,10.825227001336456,12.73556056446559,6.485708085978995,26.773774835321287,7.316216397157405e-05,4.0484454710051215e-12,4.6283383375866904e-09,78.13761830329895,0.0001805552642508701,0.0016903151845326647,21.860435605049133
2006Jul.png,31,Woman,latino hispanic,happy,408,223,239,239,5.32572939991951,10.495154559612274,2.9117725789546967,26.795294880867004,23.15596044063568,31.316089630126953,0.002132601548510138,3.941211801361533e-08,4.763882657243812e-05,98.7365186214447,0.009190772834699601,0.026923141558654606,1.2251910753548145
